品名,最低价,平均价,最高价,产地,单位,发布日期
紫甜,4.0,5.0,4.5,,斤,2021-10-25 00:00:00
凯特,3.0,4.5,3.75,,斤,2021-10-25 00:00:00
肯特\新世纪\澳芒,3.0,6.0,4.5,,斤,2021-10-25 00:00:00
白条猪,10.75,10.75,10.75,,斤,2021-10-25 00:00:00
白条猪,9.0,9.0,9.0,,斤,2021-10-25 00:00:00
前臀尖,10.0,11.0,10.5,,斤,2021-10-25 00:00:00
前臀尖,9.0,10.0,9.5,,斤,2021-10-25 00:00:00
后臀尖,10.0,11.0,10.5,,斤,2021-10-25 00:00:00
后臀尖,9.0,10.0,9.5,,斤,2021-10-25 00:00:00
五花肉,12.0,13.0,12.5,,斤,2021-10-25 00:00:00
五花肉,11.0,12.0,11.5,,斤,2021-10-25 00:00:00
纯通脊,11.0,13.0,12.0,,斤,2021-10-25 00:00:00
通脊,9.0,10.0,9.5,,斤,2021-10-25 00:00:00
纯瘦肉,10.5,11.5,11.0,,斤,2021-10-25 00:00:00
护心肉,13.0,13.0,13.0,,斤,2021-10-25 00:00:00
前肘,8.0,10.0,9.0,,斤,2021-10-25 00:00:00
后肘（带骨）,7.0,8.5,7.75,,斤,2021-10-25 00:00:00
后肘（去骨）,9.0,9.0,9.0,,斤,2021-10-25 00:00:00
猪尾巴,38.0,38.0,38.0,,斤,2021-10-25 00:00:00
大白菜,0.9,1.3,1.1,冀陕辽,斤,2021-10-25 00:00:00
娃娃菜,1.5,1.8,1.65,冀,斤,2021-10-25 00:00:00
小白菜,2.5,3.0,2.75,,斤,2021-10-25 00:00:00
圆白菜,2.3,3.0,2.65,冀,斤,2021-10-25 00:00:00
圆白菜,1.5,2.0,1.75,鲁,斤,2021-10-25 00:00:00
紫甘蓝,0.7,0.8,0.75,冀,斤,2021-10-25 00:00:00
芹菜,2.5,3.0,2.75,鲁,斤,2021-10-25 00:00:00
西芹,2.7,3.1,2.9,辽,斤,2021-10-25 00:00:00
菠菜,5.0,8.0,6.5,蒙,斤,2021-10-25 00:00:00
莴笋,1.5,3.5,2.5,冀,斤,2021-10-25 00:00:00
团生菜,4.0,8.0,6.0,冀,斤,2021-10-25 00:00:00
散叶生菜,4.5,5.0,4.75,京辽,斤,2021-10-25 00:00:00
罗马生菜,3.0,3.5,3.25,冀,斤,2021-10-25 00:00:00
油菜,2.3,3.0,2.65,冀,斤,2021-10-25 00:00:00
香菜,6.0,10.0,8.0,冀,斤,2021-10-25 00:00:00
茴香,6.0,7.0,6.5,冀,斤,2021-10-25 00:00:00
韭菜,2.6,3.2,2.9,粤冀,斤,2021-10-25 00:00:00
苦菊,4.0,4.5,4.25,辽,斤,2021-10-25 00:00:00
油麦菜,5.0,7.0,6.0,辽,斤,2021-10-25 00:00:00
黄心菜,1.5,1.6,1.55,皖,斤,2021-10-25 00:00:00
蜜梨,2.0,2.5,2.25,,斤,2021-10-25 00:00:00
京白梨,1.6,2.0,1.8,,斤,2021-10-25 00:00:00
贵妃梨,1.2,1.5,1.35,,斤,2021-10-25 00:00:00
蜜桔,1.0,2.0,1.5,,斤,2021-10-25 00:00:00
小叶桔,2.0,2.5,2.25,,斤,2021-10-25 00:00:00
南丰蜜桔,3.5,4.0,3.75,,斤,2021-10-25 00:00:00
砂糖橘,7.5,8.0,7.75,,斤,2021-10-25 00:00:00
耙耙柑（丑橘）,2.5,3.5,3.0,,斤,2021-10-25 00:00:00
爱媛,4.5,6.0,5.25,,斤,2021-10-25 00:00:00
赣南脐橙Ф65-Ф95,3.5,4.5,4.0,,斤,2021-10-25 00:00:00
冰糖橙,1.8,3.0,2.4,,斤,2021-10-25 00:00:00
金桔,6.0,8.0,7.0,,斤,2021-10-25 00:00:00
蜜柚,1.5,2.6,2.05,,斤,2021-10-25 00:00:00
蜜柚,1.0,1.6,1.3,,斤,2021-10-25 00:00:00
水蜜桃,4.0,4.5,4.25,,斤,2021-10-25 00:00:00
青州蜜桃,2.0,3.0,2.5,,斤,2021-10-25 00:00:00
晚蜜,3.5,5.0,4.25,,斤,2021-10-25 00:00:00
寿桃,3.0,4.5,3.75,,斤,2021-10-25 00:00:00
猕猴桃,3.5,5.0,4.25,,斤,2021-10-25 00:00:00
猕猴桃,2.0,2.6,2.3,,斤,2021-10-25 00:00:00
猕猴桃,1.8,2.4,2.1,,斤,2021-10-25 00:00:00
李子,1.0,3.0,2.0,,斤,2021-10-25 00:00:00
西梅,16.0,17.0,16.5,新疆,斤,2021-10-25 00:00:00
无籽小号-大号,3.0,3.3,3.15,,斤,2021-10-25 00:00:00
麒麟、甜蜜蜜,3.0,4.5,3.75,,斤,2021-10-25 00:00:00
黑美人,2.8,3.0,2.9,,斤,2021-10-25 00:00:00
特小凤,2.5,2.8,2.65,,斤,2021-10-25 00:00:00
L600吊秧瓜,2.5,3.2,2.85,,斤,2021-10-25 00:00:00
京欣,2.6,3.0,2.8,,斤,2021-10-25 00:00:00
甜王,2.6,3.0,2.8,,斤,2021-10-25 00:00:00
国产香蕉,1.8,2.2,2.0,,斤,2021-10-25 00:00:00
南美、菲律宾香蕉,2.5,3.3,2.9,,斤,2021-10-25 00:00:00
泰国香蕉,6.5,7.5,7.0,,斤,2021-10-25 00:00:00
晓蜜25号,2.2,2.6,2.4,,斤,2021-10-25 00:00:00
黄金瓜,3.0,3.5,3.25,,斤,2021-10-25 00:00:00
玉菇,3.0,3.8,3.4,,斤,2021-10-25 00:00:00
网纹,3.5,4.5,4.0,,斤,2021-10-25 00:00:00
西洲蜜,1.6,2.4,2.0,,斤,2021-10-25 00:00:00
羊角蜜,3.0,3.5,3.25,,斤,2021-10-25 00:00:00
花蕾甜瓜,2.8,3.5,3.15,,斤,2021-10-25 00:00:00
油菜,3.0,3.5,3.25,,斤,2021-10-25 00:00:00
小白菜,4.0,4.5,4.25,,斤,2021-10-25 00:00:00
油麦菜,6.5,7.0,6.75,,斤,2021-10-25 00:00:00
奶白菜,3.0,3.5,3.25,,斤,2021-10-25 00:00:00
散生菜,5.0,5.5,5.25,,斤,2021-10-25 00:00:00
香葱,5.0,5.5,5.25,,斤,2021-10-25 00:00:00
茼蒿,7.0,7.5,7.25,,斤,2021-10-25 00:00:00
蒿子秆,3.0,3.5,3.25,,斤,2021-10-25 00:00:00
水萝卜,3.0,3.5,3.25,,斤,2021-10-25 00:00:00
樱桃萝卜,3.5,4.0,3.75,,斤,2021-10-25 00:00:00
香芹,4.5,5.0,4.75,,斤,2021-10-25 00:00:00
菠菜,8.0,9.0,8.5,,斤,2021-10-25 00:00:00
苋菜,3.0,3.5,3.25,,斤,2021-10-25 00:00:00
菊花菜,7.0,8.0,7.5,,斤,2021-10-25 00:00:00
黄心菜,4.0,4.5,4.25,,斤,2021-10-25 00:00:00
青蒜,3.5,4.0,3.75,,斤,2021-10-25 00:00:00
盖菜,3.0,3.5,3.25,,斤,2021-10-25 00:00:00
芥兰,6.0,6.5,6.25,,斤,2021-10-25 00:00:00
菜心,3.0,4.0,3.5,,斤,2021-10-25 00:00:00
空心菜,5.0,6.0,5.5,,斤,2021-10-25 00:00:00
线椒,2.0,3.0,2.5,鲁冀,斤,2021-10-25 00:00:00
杭椒,2.0,3.0,2.5,鲁,斤,2021-10-25 00:00:00
小米椒,6.0,7.0,6.5,云,斤,2021-10-25 00:00:00
彩椒,5.0,7.0,6.0,鲁冀,斤,2021-10-25 00:00:00
白萝卜,0.9,2.5,1.7,冀,斤,2021-10-25 00:00:00
心里美,1.0,1.2,1.1,冀,斤,2021-10-25 00:00:00
卞萝卜,0.7,0.8,0.75,蒙,斤,2021-10-25 00:00:00
芥菜头,0.6,0.8,0.7,辽,斤,2021-10-25 00:00:00
青萝卜,1.0,1.5,1.25,冀鲁,斤,2021-10-25 00:00:00
胡萝卜,0.5,0.8,0.65,冀鲁,斤,2021-10-25 00:00:00
胡萝卜,0.8,1.1,0.95,冀鲁,斤,2021-10-25 00:00:00
土豆,0.7,0.9,0.8,冀蒙辽,斤,2021-10-25 00:00:00
土豆,0.8,1.2,1.0,冀陕,斤,2021-10-25 00:00:00
葱头,0.9,1.1,1.0,甘,斤,2021-10-25 00:00:00
葱头,1.3,1.4,1.35,甘,斤,2021-10-25 00:00:00
山药,2.0,2.8,2.4,冀,斤,2021-10-25 00:00:00
山药,3.0,7.0,5.0,豫,斤,2021-10-25 00:00:00
莲藕,2.5,3.5,3.0,鄂津,斤,2021-10-25 00:00:00
红薯,0.8,1.1,0.95,冀,斤,2021-10-25 00:00:00
红薯,1.5,1.7,1.6,,斤,2021-10-25 00:00:00
绿宝甜瓜,2.5,3.5,3.0,,斤,2021-10-25 00:00:00
博阳,2.8,3.5,3.15,,斤,2021-10-25 00:00:00
久红瑞,1.6,1.8,1.7,,斤,2021-10-25 00:00:00
富士,1.8,2.4,2.1,,斤,2021-10-25 00:00:00
富士,2.6,3.6,3.1,,斤,2021-10-25 00:00:00
富士,2.0,2.6,2.3,,斤,2021-10-25 00:00:00
黄元帅,1.8,2.5,2.15,,斤,2021-10-25 00:00:00
花牛,1.5,2.8,2.15,,斤,2021-10-25 00:00:00
阿克苏,3.5,4.5,4.0,新疆,斤,2021-10-25 00:00:00
国光,1.8,2.4,2.1,,斤,2021-10-25 00:00:00
寒富苹果,1.5,1.8,1.65,辽宁,斤,2021-10-25 00:00:00
王林,1.2,1.5,1.35,,斤,2021-10-25 00:00:00
嘎啦,1.5,2.5,2.0,,斤,2021-10-25 00:00:00
阳光玫瑰,10.0,26.0,18.0,,斤,2021-10-25 00:00:00
红提,4.0,5.0,4.5,,斤,2021-10-25 00:00:00
红宝石,4.5,5.0,4.75,,斤,2021-10-25 00:00:00
克伦生,6.0,8.0,7.0,,斤,2021-10-25 00:00:00
辽峰,3.5,5.5,4.5,,斤,2021-10-25 00:00:00
新疆无核,4.0,5.0,4.5,,斤,2021-10-25 00:00:00
巨峰,2.0,3.0,2.5,,斤,2021-10-25 00:00:00
紫薯,1.8,3.5,2.65,,斤,2021-10-25 00:00:00
茭白,3.0,4.0,3.5,津,斤,2021-10-25 00:00:00
荸荠,4.0,5.0,4.5,晚,斤,2021-10-25 00:00:00
芋头,1.5,2.0,1.75,鲁,斤,2021-10-25 00:00:00
甘露,5.0,5.5,5.25,甘,斤,2021-10-25 00:00:00
姜,1.5,3.5,2.5,冀鲁,斤,2021-10-25 00:00:00
洋姜,1.5,1.7,1.6,冀,斤,2021-10-25 00:00:00
大蒜,3.0,4.4,3.7,豫苏鲁,斤,2021-10-25 00:00:00
蒜米,3.2,4.0,3.6,鲁,斤,2021-10-25 00:00:00
大葱,2.5,3.4,2.95,冀鲁辽,斤,2021-10-25 00:00:00
小葱,5.0,6.0,5.5,辽,斤,2021-10-25 00:00:00
蒜苗,3.0,6.0,4.5,鲁,斤,2021-10-25 00:00:00
蒜黄,5.0,6.0,5.5,冀,斤,2021-10-25 00:00:00
青蒜,3.0,3.4,3.2,青,斤,2021-10-25 00:00:00
平菇,4.0,5.0,4.5,京,斤,2021-10-25 00:00:00
香菇,3.0,6.0,4.5,冀,斤,2021-10-25 00:00:00
白玉菇,4.5,5.5,5.0,京,斤,2021-10-25 00:00:00
口蘑,7.5,8.5,8.0,豫,斤,2021-10-25 00:00:00
杏鲍菇,3.0,3.8,3.4,苏,斤,2021-10-25 00:00:00
金针菇,3.5,4.0,3.75,辽,斤,2021-10-25 00:00:00
猪蹄,17.0,17.0,17.0,,斤,2021-10-25 00:00:00
纯排骨,18.0,23.0,20.5,,斤,2021-10-25 00:00:00
纯腔骨,8.0,9.0,8.5,,斤,2021-10-25 00:00:00
腔排骨,13.0,14.0,13.5,,斤,2021-10-25 00:00:00
棒骨,9.0,10.0,9.5,,斤,2021-10-25 00:00:00
猪头,9.0,9.0,9.0,,斤,2021-10-25 00:00:00
猪口条,14.0,14.0,14.0,,斤,2021-10-25 00:00:00
猪耳,26.0,26.0,26.0,,斤,2021-10-25 00:00:00
猪脑,28.0,30.0,29.0,,斤,2021-10-25 00:00:00
猪肚,16.0,16.0,16.0,,斤,2021-10-25 00:00:00
猪板油,6.0,6.0,6.0,,斤,2021-10-25 00:00:00
肥膘肉,4.0,5.0,4.5,,斤,2021-10-25 00:00:00
猪腰子,14.0,14.0,14.0,,斤,2021-10-25 00:00:00
猪心,8.0,8.0,8.0,,斤,2021-10-25 00:00:00
猪肝,4.0,4.0,4.0,,斤,2021-10-25 00:00:00
猪肺,3.0,4.0,3.5,,个,2021-10-25 00:00:00
猪皮,3.0,5.0,4.0,,斤,2021-10-25 00:00:00
猪肠头,16.0,17.0,16.5,,斤,2021-10-25 00:00:00
猪肠,14.0,14.0,14.0,,斤,2021-10-25 00:00:00
整牛,32.5,32.75,32.63,,斤,2021-10-25 00:00:00
鸡翅根,7.5,7.5,7.5,,斤,2021-10-25 00:00:00
鸡边腿,6.5,7.0,6.75,,斤,2021-10-25 00:00:00
鸡排腿,7.0,7.5,7.25,,斤,2021-10-25 00:00:00
鸡琵琶腿,7.0,7.5,7.25,,斤,2021-10-25 00:00:00
鸡胗,12.0,16.0,14.0,,斤,2021-10-25 00:00:00
鸡爪,15.0,15.0,15.0,,斤,2021-10-25 00:00:00
鸡心,6.0,6.0,6.0,,斤,2021-10-25 00:00:00
鸡肝,2.5,2.5,2.5,,斤,2021-10-25 00:00:00
鸡脖子,4.5,4.5,4.5,,斤,2021-10-25 00:00:00
鸡头,2.5,2.5,2.5,,斤,2021-10-25 00:00:00
鸡架子,2.0,2.5,2.25,,斤,2021-10-25 00:00:00
白条乌鸡,11.0,11.0,11.0,,斤,2021-10-25 00:00:00
黑爪公鸡,12.0,12.0,12.0,,斤,2021-10-25 00:00:00
鸭腿,6.0,6.5,6.25,,斤,2021-10-25 00:00:00
白条湖鸭,7.0,7.0,7.0,,斤,2021-10-25 00:00:00
箱鸡蛋,235.0,240.0,237.5,,箱,2021-10-25 00:00:00
箱鸡蛋,5.34,5.45,5.4,,斤,2021-10-25 00:00:00
散鸡蛋,5.6,5.6,5.6,,斤,2021-10-25 00:00:00
生鸭蛋,6.2,7.5,6.85,,斤,2021-10-25 00:00:00
熟鸭蛋,7.3,8.5,7.9,,斤,2021-10-25 00:00:00
牛前腱,36.5,37.0,36.75,,斤,2021-10-25 00:00:00
牛后腱,36.5,37.0,36.75,,斤,2021-10-25 00:00:00
牛前腿,34.0,34.0,34.0,,斤,2021-10-25 00:00:00
牛后腿,34.0,34.0,34.0,,斤,2021-10-25 00:00:00
牛腰窝,34.0,34.0,34.0,,斤,2021-10-25 00:00:00
牛柳,37.0,37.0,37.0,,斤,2021-10-25 00:00:00
精牛柳,40.0,42.0,41.0,,斤,2021-10-25 00:00:00
牛腩,34.0,34.0,34.0,,斤,2021-10-25 00:00:00
牛林,34.0,34.0,34.0,,斤,2021-10-25 00:00:00
牛油,5.0,5.0,5.0,,斤,2021-10-25 00:00:00
牛金钱腱,48.0,50.0,49.0,,斤,2021-10-25 00:00:00
牛骨,5.0,5.0,5.0,,斤,2021-10-25 00:00:00
牛排骨,30.0,30.0,30.0,,斤,2021-10-25 00:00:00
牛板筋,34.0,35.0,34.5,,斤,2021-10-25 00:00:00
牛尾,30.0,30.0,30.0,,斤,2021-10-25 00:00:00
牛上脑,34.0,34.0,34.0,,斤,2021-10-25 00:00:00
整羊,24.0,25.5,24.75,,斤,2021-10-25 00:00:00
去骨羊前腿,34.0,34.0,34.0,,斤,2021-10-25 00:00:00
去骨羊后腿,34.0,35.0,34.5,,斤,2021-10-25 00:00:00
羊腰窝,33.0,33.0,33.0,,斤,2021-10-25 00:00:00
羊肉片,35.0,38.0,36.5,,斤,2021-10-25 00:00:00
羊腰子,15.0,15.0,15.0,,个,2021-10-25 00:00:00
羊蝎子,17.0,18.0,17.5,,斤,2021-10-25 00:00:00
羊蝎子,25.0,26.0,25.5,,斤,2021-10-25 00:00:00
羊排骨,25.0,26.0,25.5,,斤,2021-10-25 00:00:00
羊尾巴油,9.0,9.0,9.0,,斤,2021-10-25 00:00:00
羊小腿,23.0,24.0,23.5,,斤,2021-10-25 00:00:00
羊腱子肉,35.0,36.0,35.5,,斤,2021-10-25 00:00:00
羊上脑,35.0,35.0,35.0,,斤,2021-10-25 00:00:00
羊骨头,10.0,10.0,10.0,,斤,2021-10-25 00:00:00
羊腩,25.0,25.0,25.0,,斤,2021-10-25 00:00:00
羊里脊,34.0,34.0,34.0,,斤,2021-10-25 00:00:00
淘汰鸡,10.0,10.0,10.0,,斤,2021-10-25 00:00:00
淘汰鸡,9.0,9.5,9.25,,斤,2021-10-25 00:00:00
仔鸡,6.5,7.0,6.75,,斤,2021-10-25 00:00:00
肉鸡,6.5,6.5,6.5,,斤,2021-10-25 00:00:00
鸡胸,6.5,7.0,6.75,,斤,2021-10-25 00:00:00
鸡翅,10.0,10.0,10.0,,斤,2021-10-25 00:00:00
鸡翅尖,7.0,7.5,7.25,,斤,2021-10-25 00:00:00
鸡翅中,20.0,20.0,20.0,,斤,2021-10-25 00:00:00
松花蛋,7.2,8.5,7.85,,斤,2021-10-25 00:00:00
鹅蛋,13.0,15.0,14.0,,斤,2021-10-25 00:00:00
鹌鹑蛋,6.0,6.5,6.25,,斤,2021-10-25 00:00:00
柴鸡蛋,5.0,10.0,7.5,,斤,2021-10-25 00:00:00
乌鸡蛋,8.0,9.0,8.5,,斤,2021-10-25 00:00:00
鸵鸟蛋,100.0,110.0,105.0,,个,2021-10-25 00:00:00
鸽子蛋,2.8,3.0,2.9,,个,2021-10-25 00:00:00
鲤鱼,6.0,6.5,6.25,,斤,2021-10-25 00:00:00
鲤鱼,6.0,6.5,6.25,,斤,2021-10-25 00:00:00
草鱼,7.0,7.5,7.25,,斤,2021-10-25 00:00:00
草鱼,7.0,7.5,7.25,,斤,2021-10-25 00:00:00
鲫鱼,8.0,9.0,8.5,,斤,2021-10-25 00:00:00
鲫鱼,9.0,10.0,9.5,,斤,2021-10-25 00:00:00
鲫鱼,10.0,11.0,10.5,,斤,2021-10-25 00:00:00
胖头鱼,8.0,9.0,8.5,,斤,2021-10-25 00:00:00
胖头鱼,8.0,9.0,8.5,,斤,2021-10-25 00:00:00
武昌鱼,10.0,11.0,10.5,,斤,2021-10-25 00:00:00
鲢鱼,4.0,4.0,4.0,,斤,2021-10-25 00:00:00
鲢鱼,3.5,4.0,3.75,,斤,2021-10-25 00:00:00
鲶鱼,4.0,4.0,4.0,,斤,2021-10-25 00:00:00
国产带鱼,16.0,17.0,16.5,,斤,2021-10-25 00:00:00
小黄花鱼,10.0,12.0,11.0,,斤,2021-10-25 00:00:00
国产黄花鱼,15.0,16.0,15.5,,斤,2021-10-25 00:00:00
国产黄花鱼,18.0,19.0,18.5,,斤,2021-10-25 00:00:00
国产黄花鱼,25.0,26.0,25.5,,斤,2021-10-25 00:00:00
国产平鱼,4.0,5.0,4.5,,斤,2021-10-25 00:00:00
国产平鱼,8.0,10.0,9.0,,斤,2021-10-25 00:00:00
国产平鱼,20.0,21.0,20.5,,斤,2021-10-25 00:00:00
鱿鱼,13.0,14.0,13.5,,斤,2021-10-25 00:00:00
鱿鱼,18.0,20.0,19.0,,斤,2021-10-25 00:00:00
海鲈鱼,12.0,14.0,13.0,,斤,2021-10-25 00:00:00
墨鱼,20.0,20.0,20.0,,斤,2021-10-25 00:00:00
金鲳鱼,12.0,13.0,12.5,,斤,2021-10-25 00:00:00
金鲳鱼,13.0,15.0,14.0,,斤,2021-10-25 00:00:00
小公鱼,8.0,9.0,8.5,,斤,2021-10-25 00:00:00
公河蟹,20.0,23.0,21.5,,斤,2021-10-25 00:00:00
公河蟹,25.0,28.0,26.5,,斤,2021-10-25 00:00:00
公河蟹,35.0,38.0,36.5,,斤,2021-10-25 00:00:00
母河蟹,35.0,38.0,36.5,,斤,2021-10-25 00:00:00
母河蟹,45.0,48.0,46.5,,斤,2021-10-25 00:00:00
黑鱼,12.0,13.0,12.5,,斤,2021-10-25 00:00:00
黄鳝,35.0,35.0,35.0,,斤,2021-10-25 00:00:00
黄鳝,38.0,38.0,38.0,,斤,2021-10-25 00:00:00
罗非鱼,9.0,10.0,9.5,,斤,2021-10-25 00:00:00
虹鳟鱼,18.0,20.0,19.0,,斤,2021-10-25 00:00:00
鲟鱼,13.0,15.0,14.0,,斤,2021-10-25 00:00:00
桂鱼,45.0,45.0,45.0,,斤,2021-10-25 00:00:00
嘎鱼,20.0,20.0,20.0,,斤,2021-10-25 00:00:00
嘎鱼,18.0,18.0,18.0,,斤,2021-10-25 00:00:00
淡水鲈鱼,20.0,21.0,20.5,,斤,2021-10-25 00:00:00
泥鳅,10.0,12.0,11.0,,斤,2021-10-25 00:00:00
清江鱼,10.0,11.0,10.5,,斤,2021-10-25 00:00:00
燕鲅,10.0,18.0,14.0,,斤,2021-10-25 00:00:00
鲐鲅,4.0,5.0,4.5,,斤,2021-10-25 00:00:00
鲽鱼,26.0,28.0,27.0,,斤,2021-10-25 00:00:00
八爪鱼,35.0,40.0,37.5,,斤,2021-10-25 00:00:00
八爪鱼,15.0,18.0,16.5,,斤,2021-10-25 00:00:00
多宝鱼,40.0,42.0,41.0,,斤,2021-10-25 00:00:00
国产带鱼,11.0,13.0,12.0,,斤,2021-10-25 00:00:00
国产带鱼,14.0,15.0,14.5,,斤,2021-10-25 00:00:00
钉螺,7.0,7.0,7.0,,斤,2021-10-25 00:00:00
海螺丝,35.0,36.0,35.5,,斤,2021-10-25 00:00:00
海螺,14.0,15.0,14.5,,斤,2021-10-25 00:00:00
海螺,20.0,25.0,22.5,,斤,2021-10-25 00:00:00
海螺,30.0,35.0,32.5,,斤,2021-10-25 00:00:00
竹蛏子,35.0,40.0,37.5,,斤,2021-10-25 00:00:00
蛏子,14.0,16.0,15.0,,斤,2021-10-25 00:00:00
海虹,6.0,6.0,6.0,,斤,2021-10-25 00:00:00
